구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,sales_type,age,year
Audi - A6 40 TDI,12,19,38,15,0,0,0,0,0,0,0,0,84,개인,40~49,2020
Audi - A6 40 TDI quattro,7,17,16,15,0,0,0,0,0,0,0,0,55,개인,40~49,2020
Audi - A6 45 TDI quattro,9,9,17,13,0,0,0,0,0,0,0,0,48,개인,40~49,2020
Audi - A6 45 TFSI,52,95,181,94,0,0,0,0,0,0,0,0,422,개인,40~49,2020
Audi - A6 45 TFSI quattro,91,117,161,36,0,0,0,0,0,0,0,0,405,개인,40~49,2020
Audi - A6 50 TDI quattro,5,3,6,6,0,0,0,0,0,0,0,0,20,개인,40~49,2020
Audi - A7 45 TDI quattro,2,5,16,2,0,0,0,0,0,0,0,0,25,개인,40~49,2020
Audi - A7 50 TDI quattro,1,2,7,11,0,0,0,0,0,0,0,0,21,개인,40~49,2020
Audi - A7 55 TFSI quattro,13,32,51,9,0,0,0,0,0,0,0,0,105,개인,40~49,2020
Audi - A8 50 TDI quattro,0,0,3,1,0,0,0,0,0,0,0,0,4,개인,40~49,2020
Audi - A8 L 50 TDI quattro,3,3,5,2,0,0,0,0,0,0,0,0,13,개인,40~49,2020
Audi - A8 L 55 TFSI quattro,2,5,1,2,0,0,0,0,0,0,0,0,10,개인,40~49,2020
Audi - A8 L 60 TFSI quattro,0,1,0,1,0,0,0,0,0,0,0,0,2,개인,40~49,2020
Audi - Q2 35 TDI,5,0,0,0,0,0,0,0,0,0,0,0,5,개인,40~49,2020
Audi - Q3 35 TDI,6,0,0,1,0,0,0,0,0,0,0,0,7,개인,40~49,2020
Audi - Q3 Sportback 35 TDI,11,0,0,0,0,0,0,0,0,0,0,0,11,개인,40~49,2020
Audi - Q5 40 TDI quattro,22,3,0,0,0,0,0,0,0,0,0,0,25,개인,40~49,2020
Audi - Q5 50 TDI quattro,4,3,0,0,0,0,0,0,0,0,0,0,7,개인,40~49,2020
Audi - Q7 45 TDI quattro,13,20,24,10,0,0,0,0,0,0,0,0,67,개인,40~49,2020
Audi - Q7 50 TDI quattro,4,2,6,1,0,0,0,0,0,0,0,0,13,개인,40~49,2020
Audi - Q7 55 TFSI quattro,0,5,10,5,0,0,0,0,0,0,0,0,20,개인,40~49,2020
Audi - Q8 45 TDI quattro,2,2,4,2,0,0,0,0,0,0,0,0,10,개인,40~49,2020
Audi - Q8 50 TDI quattro,9,11,25,18,0,0,0,0,0,0,0,0,63,개인,40~49,2020
Audi - Q8 55 TFSI quattro,0,11,34,14,0,0,0,0,0,0,0,0,59,개인,40~49,2020
Audi - R8 V10 performance,0,0,3,2,0,0,0,0,0,0,0,0,5,개인,40~49,2020
Audi - S6 TDI,0,1,0,0,0,0,0,0,0,0,0,0,1,개인,40~49,2020
Audi - S7 TDI,1,1,1,1,0,0,0,0,0,0,0,0,4,개인,40~49,2020
Audi - SQ5 TDI,4,5,0,0,0,0,0,0,0,0,0,0,9,개인,40~49,2020
Audi - SQ8 TDI,1,4,0,0,0,0,0,0,0,0,0,0,5,개인,40~49,2020
Audi - e-tron 55 quattro,0,0,5,2,0,0,0,0,0,0,0,0,7,개인,40~49,2020
BMW - 118d Urban,56,59,61,35,0,0,0,0,0,0,0,0,211,개인,40~49,2020
BMW - 218d Gran Coupe,25,50,29,6,0,0,0,0,0,0,0,0,110,개인,40~49,2020
BMW - 320,54,82,69,72,0,0,0,0,0,0,0,0,277,개인,40~49,2020
BMW - 320 Touring,5,12,19,14,0,0,0,0,0,0,0,0,50,개인,40~49,2020
BMW - 320d,6,7,16,9,0,0,0,0,0,0,0,0,38,개인,40~49,2020
BMW - 320d Touring,4,3,6,4,0,0,0,0,0,0,0,0,17,개인,40~49,2020
BMW - 320d xDrive,2,1,6,4,0,0,0,0,0,0,0,0,13,개인,40~49,2020
BMW - 330e,10,4,15,15,0,0,0,0,0,0,0,0,44,개인,40~49,2020
BMW - 420 Coupe,0,6,12,18,0,0,0,0,0,0,0,0,36,개인,40~49,2020
BMW - 420d Coupe,0,4,3,1,0,0,0,0,0,0,0,0,8,개인,40~49,2020
BMW - 420d Gran Coupe,1,0,0,0,0,0,0,0,0,0,0,0,1,개인,40~49,2020
BMW - 520,177,154,122,193,0,0,0,0,0,0,0,0,646,개인,40~49,2020
BMW - 523d,19,9,19,17,0,0,0,0,0,0,0,0,64,개인,40~49,2020
BMW - 523d xDrive,18,7,5,8,0,0,0,0,0,0,0,0,38,개인,40~49,2020
BMW - 530,102,89,84,75,0,0,0,0,0,0,0,0,350,개인,40~49,2020
BMW - 530 xDrive,73,86,39,22,0,0,0,0,0,0,0,0,220,개인,40~49,2020
BMW - 530e,53,59,105,104,0,0,0,0,0,0,0,0,321,개인,40~49,2020
BMW - 540 xDrive,5,0,1,0,0,0,0,0,0,0,0,0,6,개인,40~49,2020
BMW - 620d Gran Turismo,20,29,26,28,0,0,0,0,0,0,0,0,103,개인,40~49,2020
BMW - 620d xDrive Gran Turismo,14,14,14,15,0,0,0,0,0,0,0,0,57,개인,40~49,2020
BMW - 630 xDrive Gran Turismo,31,51,39,28,0,0,0,0,0,0,0,0,149,개인,40~49,2020
BMW - 630d xDrive Gran Turismo,3,0,0,0,0,0,0,0,0,0,0,0,3,개인,40~49,2020
