,brand_ad,brand,advertiser,keys,values
,Ford_포드포커스,Ford,포드포커스,FOCUS,"포드포커스, 포드focus, fordfocus"
,Ford_포드링컨MKZ,Ford,포드링컨MKZ,MKZ,"MKZ, 링컨MKZ"
,Ford_포드세일즈서비스코리아,Ford,포드세일즈서비스코리아,Ford,"포드, FORD"
,Porsche_포르쉐파나메라*,Porsche,포르쉐파나메라*,PANAMERA,"포르쉐파나메라, 파나메라, 파나매라, 파나메라리스, 포르쉐파나메라GTS, 포르쉐파나메라하이브리드, 포르쉐파나메라터보, PANAMERA"
,Porsche_포르쉐코리아,Porsche,포르쉐코리아,Porsche,"포르쉐, PORSCHE"
,Volkswagen_폭스바겐골프,Volkswagen,폭스바겐골프,GOLF,"폭스바겐골프, 폭스바겐골프리스, 폭스바겐GOLF, 골프7세대, 폭스바겐골프7세대"
,Volkswagen_폭스바겐파사트,Volkswagen,폭스바겐파사트,PASST,"파사트, 폭스바겐파사트, PASSAT, 뉴파사트, 파싸트, 파사트프리미엄"
,Volkswagen_폭스바겐파사트GT,Volkswagen,폭스바겐파사트GT,PASST,"파사트GT, 폭스바겐파사트GT"
,Volkswagen_폭스바겐아테온,Volkswagen,폭스바겐아테온,ARTEON,"VolkswagenArteon2.0TDI,아테온2.0,폭스바겐아테온2.0"
,Volkswagen_폭스바겐투아렉,Volkswagen,폭스바겐투아렉,TOUAREG,"VolkswagenTouareg3.0TDI,투아레그3.0,투아렉3.0,폭스바겐투아레그3.0,폭스바겐투아렉3.0"
,Nissan_한국닛산,Nissan,한국닛산,Nissan,"닛산, NISSAN"
,Lexus_한국토요타렉서스ES300H,Lexus,한국토요타렉서스ES300H,ES300H,"이에스삼백,이에스삼백에이치,이에스삼백하이브리드,이에스300h,이에스300,es300"
,Toyota_한국토요타자동차,Toyota,한국토요타자동차,,"도요타, TOYOTA"
,Lexus_한국토요타렉서스GS450H,Lexus,한국토요타렉서스GS450H,GS450H,"렉서스GS450H, GS450H, 렉서스GS450, GS450"
,Lexus_한국토요타렉서스GSF,Lexus,한국토요타렉서스GSF,GSF,"렉서스GSF, GSF"
,Lexus_한국토요타렉서스SUV,Lexus,한국토요타렉서스SUV,,렉서스SUV
,Lexus_한국토요타자동차렉서스,Lexus,한국토요타자동차렉서스,LEXUS,"렉서스, LEXUS"
,Toyota_한국토요타프리우스,Toyota,한국토요타프리우스,PRIOUS,"프리우스, 도요타프리우스, 토요타프리우스, 프리우스하이브리드, 프리우스E, 토요타PRIOUS"
