구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,area,sales_type,age,year
Fiat,0,16,31,9,0,1,1,0,0,0,0,0,58,서울,개인-남자,30~39,2016
Ford,29,26,30,25,29,23,34,20,12,19,22,27,296,서울,개인-남자,30~39,2016
Honda,32,23,30,53,59,77,56,30,50,37,38,31,516,서울,개인-남자,30~39,2016
Infiniti,6,6,12,26,18,19,14,21,16,16,17,24,195,서울,개인-남자,30~39,2016
Jaguar,5,5,33,4,9,19,8,5,6,0,3,13,110,서울,개인-남자,30~39,2016
Land Rover,13,18,28,15,11,31,24,28,33,25,25,26,277,서울,개인-남자,30~39,2016
Lexus,34,31,36,38,26,48,22,38,39,26,38,51,427,서울,개인-남자,30~39,2016
MINI,25,16,24,26,43,40,38,24,33,26,32,63,390,서울,개인-남자,30~39,2016
Mercedes-Benz,218,192,220,204,194,239,199,188,161,146,211,119,"2,291",서울,개인-남자,30~39,2016
Nissan,36,23,31,35,29,27,28,19,30,18,19,18,313,서울,개인-남자,30~39,2016
Peugeot,3,12,8,15,4,10,6,14,7,6,10,7,102,서울,개인-남자,30~39,2016
Porsche,11,9,11,10,16,10,10,4,8,3,9,13,114,서울,개인-남자,30~39,2016
Toyota,53,48,54,49,49,39,53,96,51,46,59,58,655,서울,개인-남자,30~39,2016
Volvo,21,27,29,30,34,43,32,38,32,29,34,10,359,서울,개인-남자,30~39,2016
Audi,12,9,4,0,0,0,0,0,0,0,0,0,25,서울,개인-남자,40~49,2016
BMW,46,81,177,200,141,129,54,85,127,117,200,239,"1,596",서울,개인-남자,40~49,2016
Bentley,0,0,0,0,2,0,0,0,0,1,0,1,4,서울,개인-남자,40~49,2016
Cadillac,1,5,1,6,4,3,2,2,2,1,7,8,42,서울,개인-남자,40~49,2016
Chrysler,8,18,23,20,12,19,9,12,14,14,20,9,178,서울,개인-남자,40~49,2016
Citroen,10,5,1,2,6,2,2,4,7,3,1,4,47,서울,개인-남자,40~49,2016
Fiat,1,8,19,7,1,1,0,0,0,0,0,0,37,서울,개인-남자,40~49,2016
Ford,41,25,26,22,40,45,36,36,32,25,21,32,381,서울,개인-남자,40~49,2016
Honda,42,25,20,49,55,88,51,20,34,47,63,27,521,서울,개인-남자,40~49,2016
Infiniti,5,3,10,22,13,10,9,10,11,13,14,16,136,서울,개인-남자,40~49,2016
Jaguar,3,5,23,3,1,13,2,3,8,1,2,16,80,서울,개인-남자,40~49,2016
Lamborghini,0,1,0,0,0,0,0,0,0,0,0,0,1,서울,개인-남자,40~49,2016
Land Rover,12,23,32,18,16,27,17,25,29,37,25,43,304,서울,개인-남자,40~49,2016
