구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,area,sales_type,age
Nissan,10,5,12,5,11,7,14,7,8,7,10,10,106,서울,개인-남자,50~59
Peugeot,1,6,6,3,3,3,2,3,4,1,2,0,34,서울,개인-남자,50~59
Porsche,4,5,5,7,7,7,2,1,8,5,2,11,64,서울,개인-남자,50~59
Rolls-Royce,0,0,0,1,0,0,0,1,0,0,0,0,2,서울,개인-남자,50~59
Toyota,22,25,23,17,18,20,24,30,17,34,27,29,286,서울,개인-남자,50~59
Volvo,6,12,10,18,10,17,18,4,4,11,9,4,123,서울,개인-남자,50~59
Audi,6,0,1,0,1,0,0,0,0,0,0,0,8,서울,개인-남자,60~69
BMW,15,18,31,31,33,28,14,15,31,26,29,36,307,서울,개인-남자,60~69
Bentley,0,0,0,0,1,0,0,0,0,0,0,1,2,서울,개인-남자,60~69
Cadillac,0,4,1,1,1,5,3,0,2,1,2,1,21,서울,개인-남자,60~69
Chrysler,3,2,0,6,6,2,2,1,0,2,3,2,29,서울,개인-남자,60~69
Citroen,0,0,0,0,0,0,1,0,0,0,0,1,2,서울,개인-남자,60~69
Fiat,0,0,1,0,0,0,0,0,0,0,0,0,1,서울,개인-남자,60~69
Ford,11,9,8,7,5,7,4,7,10,5,7,12,92,서울,개인-남자,60~69
Honda,8,5,6,7,16,19,15,7,7,11,12,5,118,서울,개인-남자,60~69
Infiniti,0,1,1,5,1,4,0,2,1,2,0,0,17,서울,개인-남자,60~69
Jaguar,0,2,4,0,1,2,2,0,3,0,0,2,16,서울,개인-남자,60~69
Land Rover,5,8,10,2,3,10,6,6,5,6,8,11,80,서울,개인-남자,60~69
Lexus,8,14,26,15,11,18,14,26,15,9,21,21,198,서울,개인-남자,60~69
MINI,2,2,3,3,7,5,0,0,4,0,1,1,28,서울,개인-남자,60~69
Mercedes-Benz,91,73,68,61,51,75,45,48,55,44,61,39,711,서울,개인-남자,60~69
Nissan,4,0,3,2,4,5,4,4,3,1,4,5,39,서울,개인-남자,60~69
Peugeot,0,1,0,1,0,1,3,1,0,0,0,2,9,서울,개인-남자,60~69
Porsche,3,2,2,1,1,2,0,2,0,2,2,5,22,서울,개인-남자,60~69
Toyota,11,3,7,5,11,9,13,14,7,11,18,11,120,서울,개인-남자,60~69
Volvo,7,5,8,2,8,8,6,3,2,7,13,2,71,서울,개인-남자,60~69
Audi,1,2,0,0,0,0,0,0,0,0,0,0,3,서울,개인-남자,70~
BMW,5,3,9,4,8,8,4,6,5,8,6,9,75,서울,개인-남자,70~
Cadillac,0,0,0,0,1,0,1,0,1,0,2,0,5,서울,개인-남자,70~
Chrysler,0,0,1,1,0,0,0,2,2,0,1,0,7,서울,개인-남자,70~
Citroen,0,0,0,0,0,0,0,1,0,0,0,0,1,서울,개인-남자,70~
Fiat,0,0,1,0,0,0,0,0,0,0,0,0,1,서울,개인-남자,70~
Ford,7,2,4,3,1,1,4,5,2,1,3,0,33,서울,개인-남자,70~
Honda,2,1,1,0,1,7,1,2,1,4,2,1,23,서울,개인-남자,70~
Infiniti,0,0,0,2,1,0,0,0,1,0,0,1,5,서울,개인-남자,70~
Jaguar,0,1,2,1,0,0,0,1,0,0,0,0,5,서울,개인-남자,70~
Land Rover,0,2,0,2,1,0,2,1,2,1,3,4,18,서울,개인-남자,70~
